time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-15 00:00:00+00:00,2,2,1,1
2024-07-16 00:00:00+00:00,1,1,15,1
2024-07-22 00:00:00+00:00,2,2,0,0
2024-07-24 00:00:00+00:00,0,0,9,1
2024-07-26 00:00:00+00:00,11,5,150,1
2024-07-27 00:00:00+00:00,1,1,0,0
2024-07-28 00:00:00+00:00,5,2,0,0
2024-07-29 00:00:00+00:00,3,2,4,1
2024-07-30 00:00:00+00:00,2,2,1,1
2024-07-31 00:00:00+00:00,1,1,0,0
2024-08-01 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,3,2,0,0
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,7,3,0,0
2024-08-05 00:00:00+00:00,4,3,0,0
2024-08-06 00:00:00+00:00,1,1,0,0
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,1,1,1,1
2024-08-09 00:00:00+00:00,3,3,0,0
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,3,2,0,0
2024-08-12 00:00:00+00:00,6,5,0,0
2024-08-13 00:00:00+00:00,4,2,11,1
2024-08-14 00:00:00+00:00,0,0,19,2
2024-08-15 00:00:00+00:00,1,1,2,2
2024-08-16 00:00:00+00:00,1,1,9,1
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,1,1,0,0
2024-08-19 00:00:00+00:00,6,5,1,1
2024-08-20 00:00:00+00:00,2,2,0,0
2024-08-21 00:00:00+00:00,2,2,0,0
2024-08-22 00:00:00+00:00,3,2,0,0
2024-08-23 00:00:00+00:00,4,4,3,2
2024-08-24 00:00:00+00:00,4,2,0,0
2024-08-25 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,6,5,0,0
2024-08-27 00:00:00+00:00,1,1,0,0
2024-08-28 00:00:00+00:00,2,2,1,1
2024-08-29 00:00:00+00:00,3,2,0,0
2024-08-30 00:00:00+00:00,7,5,0,0
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-01 00:00:00+00:00,5,4,0,0
2024-09-02 00:00:00+00:00,5,4,0,0
2024-09-03 00:00:00+00:00,3,3,8,2
2024-09-04 00:00:00+00:00,4,3,0,0
2024-09-05 00:00:00+00:00,1,1,8,3
2024-09-06 00:00:00+00:00,1,1,0,0
2024-09-07 00:00:00+00:00,3,2,0,0
2024-09-08 00:00:00+00:00,4,4,2,1
2024-09-09 00:00:00+00:00,5,4,5,1
2024-09-10 00:00:00+00:00,2,2,0,0
2024-09-11 00:00:00+00:00,6,3,11,3
2024-09-12 00:00:00+00:00,2,2,0,0
2024-09-13 00:00:00+00:00,2,2,1,1
2024-09-14 00:00:00+00:00,3,2,0,0
2024-09-15 00:00:00+00:00,1,1,0,0
2024-09-16 00:00:00+00:00,3,2,0,0
2024-09-17 00:00:00+00:00,1,1,12,1
2024-09-18 00:00:00+00:00,4,2,0,0
2024-09-19 00:00:00+00:00,1,1,0,0
2024-09-20 00:00:00+00:00,4,4,0,0
2024-09-21 00:00:00+00:00,1,1,0,0
2024-09-22 00:00:00+00:00,5,3,0,0
2024-09-23 00:00:00+00:00,8,5,4,1
2024-09-24 00:00:00+00:00,1,1,1,1
2024-09-25 00:00:00+00:00,4,4,24,1
2024-09-26 00:00:00+00:00,4,4,2,1
2024-09-27 00:00:00+00:00,2,2,1,1
2024-09-28 00:00:00+00:00,1,1,0,0
2024-09-29 00:00:00+00:00,3,2,0,0
2024-09-30 00:00:00+00:00,3,2,0,0
2024-10-01 00:00:00+00:00,1,1,4,1
2024-10-02 00:00:00+00:00,3,3,6,2
2024-10-03 00:00:00+00:00,1,1,0,0
2024-10-04 00:00:00+00:00,2,2,30,3
2024-10-05 00:00:00+00:00,2,2,0,0
2024-10-06 00:00:00+00:00,2,2,0,0
